index,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content,row_id,sentiment_type,sentiment_score
0,id,bbc-news,https://www.facebook.com/bbcnews,How Egyptian police hunt LGBTQ+ people on dating apps,The BBC has seen evidence of how officers pose as dates online to seek out and arrest their targets.,https://www.bbc.co.uk/news/world-middle-east-64390817,https://ichef.bbci.co.uk/news/1024/branded_news/6A28/production/_128467172_egypt_ahmed_gv.jpg,2023-01-30T22:08:30Z,"In Egypt, homosexuality is highly stigmatised, and there have long been allegations that police are hunting LGBTQ+ people online. Now BBC News has seen evidence of how the authorities are using datin… [+9290 chars]",0,compound,0.0
1,id,bbc-news,https://www.facebook.com/bbcnews,Egyptians offered loans to buy books as inflation soars,"With book prices doubling, Egyptian authors are also being more economical in their writing.",https://www.bbc.co.uk/news/world-middle-east-64387130,https://ichef.bbci.co.uk/news/1024/branded_news/10A49/production/_128396186_mediaitem128396185.jpg,2023-01-25T02:58:27Z,"Egyptians are used to paying for costly items such as cars or washing machines in instalments, but rocketing inflation means they can now buy books this way.
""A book has become a luxury item here in… [+2458 chars]",1,compound,-0.0516
2,id,bbc-news,,LGBT people hunted by gangs and police in Egypt,A BBC News investigation reveals how violent gangs are abusing LGBT community members they meet online.,https://www.bbc.co.uk/news/av/world-africa-64460843,https://ichef.bbci.co.uk/news/1024/branded_news/7432/production/_128464792_p0dzyr6j.jpg,2023-01-30T22:54:46Z,"A BBC News investigation has revealed how violent criminal gangs are finding, abusing and extorting people from the LGBT community they meet online in Egypt. 
Using masking technology to hide the id… [+510 chars]",2,compound,-0.9001
3,id,bbc-news,https://www.facebook.com/bbcnews,Israel says Sudan peace deal to be signed in Washington,It would officially normalise relations between Israel and another member of the Arab League.,https://www.bbc.co.uk/news/world-middle-east-64503867,https://ichef.bbci.co.uk/news/1024/branded_news/B2FC/production/_128502854_sudanomdurmanflaggettyimages-1237532357.jpg,2023-02-02T19:50:55Z,"Israel and Sudan will sign an ""historic peace agreement"" in Washington in a few months' time, Israel's foreign minister announced following talks in Khartoum.
Eli Cohen said the text of the agreemen… [+2088 chars]",3,compound,0.7717
4,id,bbc-news,https://www.facebook.com/bbcnews,Egypt zoo overhaul plan raises animal welfare fears,Activists say not enough has been made public about controversial plans for the outdated attraction.,https://www.bbc.co.uk/news/world-middle-east-64295601,https://ichef.bbci.co.uk/news/1024/branded_news/B510/production/_128325364_zoohippos.jpg,2023-01-23T02:10:57Z,"A delighted Egyptian girl tosses a handful of fish to the hungry sea lions after her father discreetly hands a few coins to a keeper at Giza Zoo.
Nearby, visitors can also feed sweet potatoes to a c… [+5717 chars]",4,compound,0.743
5,id,bbc-news,https://www.facebook.com/bbcnews,The Gaza family tending World War graves for 100 years,The tradition which began during World War One has been passed from father to son.,https://www.bbc.co.uk/news/world-middle-east-64344483,https://ichef.bbci.co.uk/news/1024/branded_news/338E/production/_128389131_mediaitem128389130.jpg,2023-01-25T00:42:23Z,"The neatly regimented lines of white gravestones, trimmed grass and flowering borders conjure up the vast war cemeteries of northern France and Belgium.
But this final resting place for soldiers kil… [+5787 chars]",5,compound,-0.25
6,id,bbc-news,,Clattenburg quits Egypt refs role after five months,Former Premier League referee Mark Clattenburg resigns from his position as president of the Egyptian Referees Committee after only five months in charge.,https://www.bbc.co.uk/sport/africa/64387478,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/1023/production/_128413140_gettyimages-545882960.jpg,2023-01-25T14:41:43Z,"Clattenburg took charge of the Euro 2016 final as Portugal overcame France 1-0 after extra time
Former Premier League referee Mark Clattenburg has resigned from his position as president of the Egyp… [+2038 chars]",6,compound,-0.25
7,id,bbc-news,,Carlos Queiroz named as new Qatar head coach,"Portuguese manager Carlos Queiroz is appointed Qatar head coach, replacing Felix Sanchez.",https://www.bbc.co.uk/sport/football/64554297,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/AC49/production/_128550144_gettyimages-1245075605.jpg,2023-02-07T11:25:27Z,"Queiroz was an assistant manager to Sir Alex Ferguson at Manchester United
Former Portugal and Real Madrid boss Carlos Queiroz has been appointed Qatar head coach, replacing Felix Sanchez.
His cont… [+325 chars]",7,compound,0.4215
8,id,bbc-news,,Arsenal midfielder Elneny out for 'extended period',"Arsenal midfielder Mohamed Elneny is ruled out for an ""extended period"" following surgery on a ""significant"" knee injury.",https://www.bbc.co.uk/sport/football/64470830,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/14A43/production/_128474548_mohamed_elneny_getty2.jpg,2023-01-31T13:47:18Z,"Elneny has started only one Premier League match this season
Arsenal midfielder Mohamed Elneny will be out for an ""extended period"" after surgery on a ""significant"" knee injury.
The Egypt internati… [+704 chars]",8,compound,-0.25
9,id,bbc-news,,Liverpool may sell Salah - Sunday's gossip,"Liverpool may be willing to selling ""superstars"" like Mohamed Salah, Chelsea resigned to losing Mason Mount, plus more.",https://www.bbc.co.uk/sport/64611363,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/103EC/production/_128604566_whatsubject.jpg,2023-02-11T22:53:15Z,"Liverpool may be willing to sell 'superstar' players, including Egypt forward Mohamed Salah, 30, this summer. (Football Insider)external-link
Contact has been made between Real Madrid and German Jur… [+2296 chars]",9,compound,0.0
10,id,bbc-news,,Fifa Club World Cup 2023: Saudi Arabia to host tournament for the first time,"Saudi Arabia will host the Fifa Club World Cup for the first time, from 12-22 December 2023.",https://www.bbc.co.uk/sport/football/64643889,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/FCC9/production/_128631746_real-index.jpg,2023-02-14T19:24:05Z,"Real Madrid won the Club World Cup last week, beating Al-Hilal in the final
Saudi Arabia has been chosen to host the Fifa Club World Cup for the first time, from 12-22 December.
The announcement co… [+2369 chars]",10,compound,0.1779
11,id,bbc-news,https://www.facebook.com/bbcnews,Egypt archaeology: Gold-covered mummy among latest discoveries,"The mummy is found sealed inside a sarcophagus that has been unopened for 4,300 years.",https://www.bbc.co.uk/news/world-middle-east-64415816,https://ichef.bbci.co.uk/news/1024/branded_news/14156/production/_128426228_gettyimages-1246558526.jpg,2023-01-26T19:18:47Z,"Archaeologists say they have found a gold leaf-covered mummy sealed inside a sarcophagus that has been unopened for 4,300 years.
The mummy, the remains of a man named Hekashepes, is thought to be on… [+2407 chars]",11,compound,0.0
12,id,bbc-news,,Mohamed Salah: Liverpool manager Jurgen Klopp says Egyptian is 'suffering' this season,"Mohamed Salah is ""suffering"" from being in an unsettled front three, says Liverpool boss Jurgen Klopp.",https://www.bbc.co.uk/sport/football/64433571,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/F9B4/production/_128442936_gettyimages-1246329222.jpg,2023-01-27T23:11:31Z,"Salah has scored just seven of his 49 shots this season with a goal conversion rate of 14%
Liverpool forward Mohamed Salah is ""suffering"" from being part of an unsettled front three this season, say… [+2592 chars]",12,compound,-0.6597
