index,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content,row_id,sentiment_type,sentiment_score
0,id,bbc-news,https://www.facebook.com/bbcnews,Actor Will Ferrell spotted having a pint in Welsh pub,The comic celebrity chatted with fans before watching Wrexham AFC's win on Saturday afternoon.,https://www.bbc.co.uk/news/uk-wales-64585586,https://ichef.bbci.co.uk/news/1024/branded_news/CCA3/production/_128578325_will1.jpg,2023-02-11T22:02:28Z,"Hollywood actor Will Ferrell was spotted in Wrexham by football fans ahead of the club's match on Saturday.
The comedian known for films including Elf and Step Brothers, was enjoying a pint at The T… [+1465 chars]",0,compound,0.7184
1,id,bbc-news,https://www.facebook.com/bbcnews,US investigating Southwest Airlines over holiday travel chaos,Officials investigate whether it knowingly scheduled more flights than it could handle last month.,https://www.bbc.co.uk/news/world-us-canada-64362249,https://ichef.bbci.co.uk/news/1024/branded_news/0543/production/_128374310_gettyimages-1245859143.jpg,2023-01-26T16:05:27Z,"The US government is launching an investigation into Southwest Airlines after mass flight cancellations left travellers stranded last month. 
The Department of Transportation is in the initial phase… [+1540 chars]",1,compound,0.0
2,id,bbc-news,https://www.facebook.com/bbcnews,Israel says Sudan peace deal to be signed in Washington,It would officially normalise relations between Israel and another member of the Arab League.,https://www.bbc.co.uk/news/world-middle-east-64503867,https://ichef.bbci.co.uk/news/1024/branded_news/B2FC/production/_128502854_sudanomdurmanflaggettyimages-1237532357.jpg,2023-02-02T19:50:55Z,"Israel and Sudan will sign an ""historic peace agreement"" in Washington in a few months' time, Israel's foreign minister announced following talks in Khartoum.
Eli Cohen said the text of the agreemen… [+2088 chars]",2,compound,0.7717
3,id,bbc-news,https://www.facebook.com/bbcnews,Tyre Nichols' lawyer urges lawmakers to pass urgent police reforms,Ben Crump urged President Biden to use Nichols's death to pursue urgent police reform legislation.,https://www.bbc.co.uk/news/world-us-canada-64447897,https://ichef.bbci.co.uk/news/1024/branded_news/FAF5/production/_128454246_4f084066914d01bc63b96f285ea1c25859f17acb366_247_2190_12321000x563.jpg,2023-01-29T20:31:16Z,"The lawyer representing Tyre Nichols' family has called on the US Congress to pass urgent police reform legislation in the wake of his death.
Mr Nichols, 29, was fatally beaten by five police office… [+3815 chars]",3,compound,-0.8779
4,id,bbc-news,,'We wanted a fresh start in 2023 - but we've been worse',Liverpool hoped a new year would bring fresh impetus but their FA Cup exit at the hands of Brighton was another low in a disappointing campaign.,https://www.bbc.co.uk/sport/football/64447208,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/10509/production/_128452866_liverpool.jpg,2023-01-29T17:22:13Z,"Liverpool have won just one of their six games in 2023
Liverpool fans were dreaming of witnessing history this time last year, with the Reds in the hunt for a quadruple of trophy wins that is unprec… [+3713 chars]",4,compound,0.8126
5,id,bbc-news,,Nobbs hits hat-trick as Aston Villa thump Brighton,Jordan Nobbs scores a hat-trick as Aston Villa thrash Women's Super League strugglers Brighton.,https://www.bbc.co.uk/sport/football/62784257,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/D660/production/_128608845_gettyimages-1465301626.jpg,2023-02-12T16:05:43Z,"Kirsty Hanson scored the second of three Aston Villa goals in the space of eight minutes
Jordan Nobbs scored a hat-trick as Aston Villa thrashed Women's Super League strugglers Brighton.
Julia Olme… [+4094 chars]",5,compound,0.3182
6,id,bbc-news,,The night Gattuso clashed with 'Jaws' Jordan in Milan,Tottenham's Champions League trip to AC Milan on Tuesday comes 12 years to the day since the infamous clash between Gennaro Gattuso and Joe Jordan at the San Siro.,https://www.bbc.co.uk/sport/football/64310169,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/14646/production/_128462538_gettyimages-112802072.jpg,2023-02-14T06:22:44Z,"Tuesday's game is the first meeting between Milan and Tottenham since the infamous last-16 clash in 2011
Gennaro Gattuso had been spoiling for a fight all night. 
Peter Crouch was not built to reac… [+7872 chars]",6,compound,-0.3818
7,id,bbc-news,,Darvel take sensational lead against Aberdeen,It's dreamland for Darvel as Jordan Kirkpatrick nets the opener for the sixth-tier side at home to Aberdeen in the Scottish Cup fourth round.,https://www.bbc.co.uk/sport/av/football/64381311,https://ichef.bbci.co.uk/news/1024/cpsprodpb/88CB/production/_128391053_p0dybk4d.jpg,2023-01-23T20:24:32Z,"12 rounds with... Eubank Jr: Drake, UFC and a life motto. Video, 00:01:5712 rounds with... Eubank Jr: Drake, UFC and a life motto",7,compound,0.0
8,id,bbc-news,,Jordan Nobbs scores hat-trick as Aston Villa thrash Brighton,Watch highlights as Jordan Nobbs scores a hat-trick as Aston Villa thrash Brighton in the Women's Super League.,https://www.bbc.co.uk/sport/av/football/64624455,https://ichef.bbci.co.uk/news/1024/cpsprodpb/A0B5/production/_128614114_p0f2tsb4.jpg,2023-02-13T12:20:24Z,"Watch highlights as Jordan Nobbs scores a hat-trick as Aston Villa thrash Brighton in the Women's Super League.
MATCH REPORT: Brighton &amp; Hove Albion 2-6 Aston Villa
Watch highlights of all Wome… [+93 chars]",8,compound,0.5719
9,id,bbc-news,,Nobbs called up to England squad to replace Kirby,Aston Villa midfielder Jordan Nobbs has been called up to the England squad for the Arnold Clark Cup to replace the injured Fran Kirby.,https://www.bbc.co.uk/sport/football/64612798,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/948E/production/_128603083_whatsubject.jpg,2023-02-11T17:18:24Z,"Jordan Nobbs has won 70 caps for England
Aston Villa midfielder Jordan Nobbs has been called up to the England squad for the Arnold Clark Cup to replace the injured Fran Kirby. 
The 29-year-old wil… [+381 chars]",9,compound,0.25
10,id,bbc-news,,FA Cup: Blackburn Rovers 2-2 Birmingham City- highlights,Watch highlights as teenage substitute Jordan James scores an injury-time equaliser to earn Birmingham City a FA Cup fourth round replay against Blackburn Rovers.,https://www.bbc.co.uk/sport/av/football/64347597,https://ichef.bbci.co.uk/news/1024/cpsprodpb/1680E/production/_128447129_p0dzkd30.jpg,2023-01-28T18:29:53Z,"Watch highlights as teenage substitute Jordan James scores an injury-time equaliser to earn Birmingham City a FA Cup fourth round replay against Blackburn Rovers.
MATCH REPORT: Blackburn Rovers 2-2 … [+107 chars]",10,compound,-0.4215
11,id,bbc-news,,Dragons into knockout stages despite Lions loss,"Dragons' reach the last 16 of the Challenge Cup despite losing to the Lions, as they picked up two losing bonus points in a 30-25 loss.",https://www.bbc.co.uk/sport/rugby-union/64332757,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/73E3/production/_128376692_basham_stopped_huw.jpg,2023-01-22T14:57:10Z,"Quan Horn (left) and Jordan Hendrikse (right) combined for 22 points in the first half
<table><tr><th>European Challenge Cup: Dragons v Lions</th></tr>
<tr><td>Dragons (5) 25</td></tr><tr><td>Try: … [+3804 chars]",11,compound,0.0772
12,id,bbc-news,https://www.facebook.com/bbcnews,Dancing lemur: Chester Zoo celebrates Coquerel's sifaka birth,"The arrival of a Coquerel's sifaka brings the number in European zoos to seven, experts say.",https://www.bbc.co.uk/news/uk-england-merseyside-64588961,https://ichef.bbci.co.uk/news/1024/branded_news/163F8/production/_128582119_mediaitem128582118.jpg,2023-02-10T01:49:04Z,"A critically endangered primate, nicknamed the dancing lemur because of the way it moves, has been bred for the first time in Europe, a zoo has said.
Chester Zoo said the birth of the baby Coquerel'… [+2012 chars]",12,compound,0.0
13,id,bbc-news,,Five reasons to watch NBA Paris on the BBC,Paris will be the neutral battleground for one of the fiercest rivalries in the NBA on Thursday - but why should you watch?,https://www.bbc.co.uk/sport/basketball/64329346,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/DC2C/production/_128346365_zachlavine.jpg,2023-01-19T11:13:40Z,"Chicago Bulls guard Zach LaVine dunks the ball against the Detroit Pistons in December
<table><tr><th>NBA Paris</th><th></th></tr>
<tr><td>Venue: Accor Arena Date: Thursday, 19 January Coverage: Wa… [+6181 chars]",13,compound,0.0
14,id,bbc-news,,The five most significant WSL January moves,BBC Sport looks at five of the most significant winter-window moves in the Women's Super League.,https://www.bbc.co.uk/sport/football/64250024,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/1569E/production/_114901778_wsl_rex.jpg,2023-02-01T00:26:56Z,"Arsenal invited Jordan Nobbs to the Emirates so she could say goodbye to fans
With more than 100 Women's Super League transfers completed during the winter window, it was a period that changed the l… [+3715 chars]",14,compound,0.6326
15,id,bbc-news,,Villa earn deserved point at Man City,Kirsty Hanson's close-range strike earns Aston Villa a deserved draw against Manchester City in the Women's Super League.,https://www.bbc.co.uk/sport/football/64272697,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/10F8D/production/_128371596_b25924a4f3397180cebbe05ed9092af48ef54df4.jpg,2023-01-21T13:28:33Z,"Kirsty Hanson has scored two goals and contributed two assists in her last three WSL matches
Kirsty Hanson's close-range strike earned Aston Villa a deserved draw against Manchester City.
Deyna Cas… [+3494 chars]",15,compound,-0.128
16,id,bbc-news,,Reynolds 'proud' of Wrexham efforts - Parkinson,"Wrexham co-owner Ryan Reynolds was ""moved"" by the side's performance against Sheffield United in the FA Cup fourth round, says manager Phil Parkinson.",https://www.bbc.co.uk/sport/football/64448194,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/0221/production/_128454500_gettyimages-1460568352.jpg,2023-01-29T20:31:54Z,"Wrexham co-owner Ryan Reynolds was ""moved"" by the side's performance against Sheffield United in the FA Cup fourth round, says boss Phil Parkinson.
The Hollywood star, who co-owns the club with Rob … [+2251 chars]",16,compound,-0.2023
