index,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content,row_id,sentiment_type,sentiment_score
0,id,bbc-news,https://www.facebook.com/bbcnews,Ukraine: US sanctions Chinese firm helping Russia's Wagner Group,Spacety China allegedly supplied satellite imagery of Ukraine to support Wagner's combat operations.,https://www.bbc.co.uk/news/world-asia-china-64421915,https://ichef.bbci.co.uk/news/1024/branded_news/BCB9/production/_128431384_b1dc0e881c66612565f681288b228c2f515892960_0_3729_25041000x671.jpg,2023-01-27T05:05:03Z,"The US has sanctioned a Chinese company for allegedly providing satellite imagery of Ukraine to support the mercenary Wagner Group's combat operations for Russia.
Changsha Tianyi Space Science and T… [+2073 chars]",0,compound,0.0772
1,id,bbc-news,https://www.facebook.com/bbcnews,First UN aid convoy enters quake-hit Syria via new crossing,The UN says 11 lorries have driven through a reopened border crossing into rebel-held north-west Syria.,https://www.bbc.co.uk/news/world-middle-east-64645329,https://ichef.bbci.co.uk/news/1024/branded_news/1513D/production/_128633368_gettyimages-1247132481.jpg,2023-02-15T01:54:09Z,"The first UN aid convoy has entered through a reopened border crossing into rebel-held north-western Syria, devastated by last week's earthquake.
The UN said 11 lorries crossed from Turkey at Bab al… [+2335 chars]",1,compound,-0.6808
2,id,bbc-news,https://www.facebook.com/bbcnews,Earthquake-hit Syria to open two more border crossings for aid delivery - UN,"The two crossings into opposition-held north-western Syria will be open for three months, the UN says.",https://www.bbc.co.uk/news/world-middle-east-64632877,https://ichef.bbci.co.uk/news/1024/branded_news/8676/production/_128622443_0078b329-cd7b-4962-b8d7-b853df3f7619.jpg,2023-02-14T01:18:09Z,"Syria's government has agreed to open two more border crossings to allow aid into the country devastated by last week's deadly earthquake, the UN says.
""It's going to make a big difference. We are n… [+2592 chars]",2,compound,-0.25
3,id,bbc-news,https://www.facebook.com/bbcnews,Pakistan mosque blast: More confirmed dead in marathon search of rubble,An inquiry is under way into how a suicide bomber got into the high-security police quarters in Peshawar.,https://www.bbc.co.uk/news/world-asia-64462321,https://ichef.bbci.co.uk/news/1024/branded_news/B47E/production/_128460264_pesh-index-epa-outside.jpg,2023-01-31T04:53:52Z,"Media caption, Watch: Chaotic scenes inside mosque after blast kills at least 32
The death toll has risen to 83 people after a mosque suicide bombing which targeted policemen in the Pakistan provinc… [+3596 chars]",3,compound,-0.9442
4,id,bbc-news,,"Brown, 14, becomes skateboarding world champion",Sky Brown has become Great Britain's first skateboarding world champion at the age of 14.,https://www.bbc.co.uk/sport/skateboarding/64618204,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/18498/production/_128608499_whatsubject.jpg,2023-02-12T14:37:30Z,"Sky Brown adds the world title to her Olympic bronze medal
Sky Brown has become Great Britain's first skateboarding world champion at the age of 14.
Brown won gold in park skateboarding at the Worl… [+882 chars]",4,compound,0.9413
5,id,bbc-news,,Smith hits century as Sixers reach BBL knockouts,Steve Smith's second Twenty20 century gives Sydney Sixers victory over Adelaide Strikers and guarantees their place in the Big Bash League knockouts.,https://www.bbc.co.uk/sport/cricket/64303028,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/9DDC/production/_128321404_gettyimages-1457027891.jpg,2023-01-17T11:46:49Z,"Steve Smith was playing in just his second Big Bash game of the season due to his Test commitments for Australia
<table>
<tr><td>Big Bash League, Coffs Harbour</td></tr><tr><td>Sydney Sixers 203-5 … [+1400 chars]",5,compound,0.3182
6,id,bbc-news,https://www.facebook.com/bbcnews,Egypt zoo overhaul plan raises animal welfare fears,Activists say not enough has been made public about controversial plans for the outdated attraction.,https://www.bbc.co.uk/news/world-middle-east-64295601,https://ichef.bbci.co.uk/news/1024/branded_news/B510/production/_128325364_zoohippos.jpg,2023-01-23T02:10:57Z,"A delighted Egyptian girl tosses a handful of fish to the hungry sea lions after her father discreetly hands a few coins to a keeper at Giza Zoo.
Nearby, visitors can also feed sweet potatoes to a c… [+5717 chars]",6,compound,0.743
7,id,bbc-news,,McKibbin leading in Singapore Classic after 64,Northern Ireland's Tom McKibbin is the clubhouse leader on day one at the Singapore Classic after firing an opening eight-under-par 64.,https://www.bbc.co.uk/sport/golf/64580062,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/0859/production/_128573120_mediaitem128573119.jpg,2023-02-09T08:54:23Z,"Tom McKibbin didn't drop a shot in his eight-under-par round at the Laguna National Golf Club
Northern Ireland 20-year-old Tom McKibbin is the clubhouse leader on day one at the Singapore Classic af… [+2011 chars]",7,compound,-0.2732
8,id,bbc-news,,McKibbin shares lead at rain-hit Singapore Classic,Tom McKibbin cards a three-under-par second round of 69 to share the Singapore Classic lead as play is suspended due to darkness.,https://www.bbc.co.uk/sport/golf/64589036,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/0D51/production/_128590430_gettyimages-1464667318.jpg,2023-02-10T12:38:03Z,"McKibbin has never finished higher than tied 13th at a DP World Tour event
<table><tr><th>Singapore Classic second-round leaderboard</th></tr>
<tr><td>-11 T McKibbin (NI), W Ding (Chi)* ; -10 M Sch… [+1927 chars]",8,compound,0.0
9,id,bbc-news,,FIA suppressing drivers' freedom of speech - human rights group,"A human rights group says Formula 1's governing body the FIA is ""suppressing drivers' freedom of speech"" with a new rule introduced this year.",https://www.bbc.co.uk/sport/formula1/64387021,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/16A61/production/_128396729_gettyimages-1226347139-1.jpg,2023-01-24T13:07:17Z,"Lewis Hamilton wore a rainbow helmet to highlight LGBTQ+ rights at the Saudi Arabian Grand Prix in 2021
A human rights group says Formula 1's governing body the FIA is ""suppressing drivers' freedom … [+5639 chars]",9,compound,0.8625
10,id,bbc-news,,Meet the double World Cup medal winner from John O'Groats,"From John O'Groats to two World Cup medals with Croatia, Marc Rochon shares his journey as an analyst with BBC Sport Scotland.",https://www.bbc.co.uk/sport/football/64306575,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/17A40/production/_128323869_mr3.jpg,2023-01-26T17:42:53Z,"The Croatia backroom team show off their medals in Qatar
""Two World Cups and two medals. Not bad for a guy from John O'Groats.""
Meet Marc Rochon, video analyst with the Croatian national team. 
In… [+4192 chars]",10,compound,0.431
11,id,bbc-news,,Broad returns for first New Zealand Test,Pace bowler Stuart Broad will return to the England team for the first Test against New Zealand in Mount Maunganui.,https://www.bbc.co.uk/sport/cricket/64616006,https://ichef.bbci.co.uk/live-experience/cps/624/cpsprodpb/6CA3/production/_128611872_stuartbroad.jpg,2023-02-14T12:00:19Z,"Stuart Broad's last Test for England was against South Africa in September
Pace bowler Stuart Broad will return to the England team for the first Test against New Zealand in Mount Maunganui. 
The 3… [+3801 chars]",11,compound,0.0
12,id,bbc-news,https://www.facebook.com/bbcnews,Crisis upon crisis: Why it's hard to get help to Syria after earthquake,Little foreign aid has arrived in the country - and promises of better access may not change much.,https://www.bbc.co.uk/news/world-middle-east-64600913,https://ichef.bbci.co.uk/news/1024/branded_news/1697B/production/_128593529_syria.jpg,2023-02-11T05:11:01Z,"A crisis within a crisis within a crisis - such is the blighted landscape of Syria, now reeling in the wake of a crushing earthquake and a decade and more of debilitating war.
The country's seismic … [+7795 chars]",12,compound,-0.9636
13,id,bbc-news,https://www.facebook.com/bbcnews,Beyoncé divides fans with Dubai Atlantis Royal live show,Some have questioned the US singer's decision to perform given the country's LGBT rights record.,https://www.bbc.co.uk/news/newsbeat-64371662,https://ichef.bbci.co.uk/news/1024/branded_news/1D0E/production/_128383470_beyoncedubaiindex.jpg,2023-01-23T10:42:43Z,"Beyoncé has returned to the stage for her first live performance in five years - but not everyone's excited.
The US megastar headlined the private concert in Dubai to mark the opening of luxury hote… [+2290 chars]",13,compound,-0.3724
14,id,bbc-news,https://www.facebook.com/bbcnews,Turkey earthquake: Aleppo among worst-hit areas in Syria,"More than 1,000 people have been killed in Syria after a huge earthquake struck neighbouring Turkey.",https://www.bbc.co.uk/news/world-middle-east-64544478,https://ichef.bbci.co.uk/news/1024/branded_news/F252/production/_128543026_gettyimages-1246846782.jpg,2023-02-06T18:45:02Z,"Syria's war-torn city of Aleppo is among the areas to have borne the brunt of a deadly earthquake, which also devastated parts of southern Turkey. 
More than 1,000 people have been reported dead so … [+3665 chars]",14,compound,-0.9349
