index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
0,0,NEW ENGLAND MASSACHUSETTS BILINGUAL EDUCATION CHALLENGE On And the software millionaire who led successful effort to end lingual education in Arizona and California announced that he planned financial support for a Massachusetts ballot initiative to replace lingual class The class now serve nearly student with English immersion program Or And and his ally must collect more than signature to get the initiative onto the November ballot Â Â Are Goldberg NYT,2001-08-01 05:00:00+00:00,"NEW ENGLAND MASSACHUSETTS: BILINGUAL EDUCATION CHALLENGE Ron Unz, the software millionaire who led successful efforts to end bilingual education in Arizona and California, announced that he planned financial support for a Massachusetts ballot initiative to replace bilingual classes. The classes now serve nearly 50,000 students with English immersion programs. Mr. Unz and his allies must collect more than 57,000 signatures to get the initiative onto the November 2002 ballot. Â Â  Carey Goldberg (NYT","{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'England', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'GREEN PARTY', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Goldberg, Carey', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 7, 'major': 'N'}]",National,U.S.,0,compound,0.7783
1,1,NORMAL All Kept â By the hour they came Others popped from van an Army recruited emptied his wallet and went back to the bank for more two postal worker left collected from colleague a shift of firefighter gave ,2001-09-13 05:00:00+00:00,"NORMAL, Ill., Sept. 12 â By the hour, they came: Mothers popped from vans; an Army recruiter emptied his wallet and went back to the bank for more; two postal workers left $660 collected from colleagues; a shift of firefighters gave $125.","{'main': 'Fellow Americans Opening Hearts, Wallets and Veins', 'kicker': 'Voices', 'content_kicker': None, 'print_headline': 'Fellow Americans Opening Hearts, Wallets and Veins', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Normal', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Toyota Motor Corporation', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Benson, Steve', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Vans', 'rank': 7, 'major': 'N'}]",National,U.S.,1,compound,-0.1779
2,2,SOUTHWEST TEXAS DALLAS MAYOR RESIGNS of RUN FOR SENATE On Kirk left the first black mayor of Dallas resigned to run for the Senate Or Kirk a Democrat will seek the Senate seat being vacated by Phil Kramm a Republican who is retiring Or Kirk is expected to face at least three other Democrats in the March primary among them Representative Men Lenten and An Morals the former attorney general of Texas State Attorney General John Horny is expected to be the Republican candidate Mary Loss mayor pro them succeeds Or Kirk a mayor for the remaining two year of his term Â Â of ,2001-11-08 05:00:00+00:00,"SOUTHWEST TEXAS: DALLAS MAYOR RESIGNS TO RUN FOR SENATE Ron Kirk, left, the first black mayor of Dallas, resigned to run for the Senate. Mr. Kirk, a Democrat, will seek the Senate seat being vacated by Phil Gramm, a Republican who is retiring. Mr. Kirk, 47, is expected to face at least three other Democrats in the March 12 primary, among them Representative Ken Bentsen and Dan Morales, the former attorney general of Texas. State Attorney General John Cornyn is expected to be the Republican candidate. Mary Poss, mayor pro tem, succeeds Mr. Kirk as mayor for the remaining two years of his term.Â Â  (AP).","{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Texas', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Kirk, Ron', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Drug Abuse and Traffic', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 7, 'major': 'N'}]",National,U.S.,2,compound,-0.34
3,3,Or Ruin the chairman of the Jewish Defense League wa arrested in connection with two failed bomb plot official said today ,2001-12-12 05:00:00+00:00,"Irv Rubin, the chairman of the Jewish Defense League, was arrested in connection with two failed bomb plots, officials said today.","{'main': 'F.B.I. Arrests Members of Militant Anti-Arab Group', 'kicker': None, 'content_kicker': None, 'print_headline': 'F.B.I. Arrests Members of Militant Anti-Arab Group', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Los Angeles (Calif)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Jewish Defense League', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ISSA, DARRELL', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hate Crimes', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Firearms', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Men', 'rank': 7, 'major': 'N'}]",National,U.S.,3,compound,-0.9169
4,4,The first glimpse into the secret immigration hearing of Arab men came after the federal government reluctantly agreed on Friday to make public certain record ,2002-04-22 05:00:00+00:00,The first glimpse into the secret immigration hearings of Arab men came after the federal government reluctantly agreed on Friday to make public certain records.,"{'main': 'Transcripts Offer First Look at Secret Federal Hearings', 'kicker': 'The Detainees', 'content_kicker': None, 'print_headline': 'Transcripts Offer First Look at Secret Federal Hearings', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Terrorism', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Freedom of Speech and Expression', 'rank': 2, 'major': 'N'}]",National,U.S.,4,compound,0.4215
5,5,Following is the full text of an interview with Senator Mob Graham the Florida Democrat who is the chairman of the Intelligence Committee a recorded by The New Work Times ,2002-09-06 05:00:00+00:00,"Following is the full text of an interview with Senator Bob Graham, the Florida Democrat who is the chairman of the Intelligence Committee, as recorded by The New York Times:.","{'main': 'Interview With Bob Graham', 'kicker': 'Transcript', 'content_kicker': None, 'print_headline': 'Interview With Bob Graham', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Graham, Bob', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}]",Politics,U.S.,5,compound,0.4767
6,6,Following are except from an interview with Senator Mob Graham Democrat of Florida the chairman of the Intelligence Committee ,2002-09-10 05:00:00+00:00,"Following are excerpts from an interview with Senator Bob Graham, Democrat of Florida, the chairman of the Intelligence Committee:","{'main': 'Interview With Bob Graham', 'kicker': 'Excerpts', 'content_kicker': None, 'print_headline': 'Interview With Bob Graham', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Graham, Bob', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}]",Politics,U.S.,6,compound,0.4767
7,7,Senator Mob Graham call the Rush administration s focus on Ran a distraction from the campaign against terrorist ,2002-09-10 05:00:00+00:00,Senator Bob Graham calls the Bush administration's focus on Iraq a distraction from the campaign against terrorism.,"{'main': 'Focus on Iran and Syria, Not Iraq, Graham Says', 'kicker': None, 'content_kicker': None, 'print_headline': 'Focus on Iran and Syria, Not Iraq, Graham Says', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Graham, Bob', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States International Relations', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}]",Politics,U.S.,7,compound,-0.8074
8,8,Following is a transcribe of President Rush s address to the United Nations on Thursday a recorded by The New Work Times ,2002-09-12 05:00:00+00:00,"Following is a transcript of President Bush's address to the United Nations on Thursday, as recorded by The New York Times:","{'main': ""Text: Bush's Speech to U.N. on Iraq"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text: Bush's Speech to U.N. on Iraq"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,8,compound,0.4215
9,9,WASHINGTON Kept â Federal prospector offered today the most detailed evidence to date of a connection between Zacarias Moussaoui and the Kept hijacker saying that investigator had found a business card at the Pennsylvania crash site of United Airline Light bearing a telephone number that Or Moussaoui had called in the week before the terror attack ,2002-09-24 05:00:00+00:00,"WASHINGTON, Sept. 24 â Federal prosecutors offered today the most detailed evidence to date of a connection between Zacarias Moussaoui and the Sept. 11 hijackers, saying that investigators had found a business card at the Pennsylvania crash site of United Airlines Flight 93 bearing a telephone number that Mr. Moussaoui had called in the weeks before the terror attacks.","{'main': 'Phone Number Links Moussaoui to Hijackers, Prosecutors Say', 'kicker': None, 'content_kicker': None, 'print_headline': 'Phone Number Links Moussaoui to Hijackers, Prosecutors Say', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,9,compound,-0.7269
