index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
0,0,New Work Times on the Web reader respond to the attack on the World Trade Enter and the Pentagon To send your own comment a he mail shareyourthoughts times com click here ,2001-09-12 05:00:00+00:00,"New York Times on the Web readers respond to the attacks on the World Trade Center and the Pentagon. To send your own comments, a href=""mailto:shareyourthoughts@nytimes.com"" click here.","{'main': ""Readers' Comments"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Readers' Comments"", 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,0,compound,-0.4767
1,1,New Work Times on the Web reader respond to the attack on the World Trade Enter and the Pentagon To send your own comment send e mail to a he mail shareyourthoughts times com shareyourthoughts times com ,2001-09-14 05:00:00+00:00,"New York Times on the Web readers respond to the attacks on the World Trade Center and the Pentagon. To send your own comments, send e-mail to a href=""mailto:shareyourthoughts@nytimes.com"" shareyourthoughts@nytimes.com.","{'main': ""Readers' Comments"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Readers' Comments"", 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,1,compound,-0.4767
2,2,New Work Times on the Web reader respond to the attack on the World Trade Enter and the Pentagon To send your own comment send e mail to a he mail shareyourthoughts times com shareyourthoughts times com ,2001-09-15 05:00:00+00:00,"New York Times on the Web readers respond to the attacks on the World Trade Center and the Pentagon. To send your own comments, send e-mail to a href=""mailto:shareyourthoughts@nytimes.com"" shareyourthoughts@nytimes.com.","{'main': ""Readers' Comments"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Readers' Comments"", 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,2,compound,-0.4767
3,3,New Work Times on the Web reader respond to the attack on the World Trade Enter and the Pentagon To send your own comment send e mail to a he mail shareyourthoughts times com shareyourthoughts times com ,2001-09-16 05:00:00+00:00,"New York Times on the Web readers respond to the attacks on the World Trade Center and the Pentagon. To send your own comments, send e-mail to a href=""mailto:shareyourthoughts@nytimes.com"" shareyourthoughts@nytimes.com.","{'main': ""Readers' Comments"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Readers' Comments"", 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,3,compound,-0.4767
4,4,The secretary of state announced today that a conference aimed at making progress toward peace in the Middle Last is being planned for this summer ,2002-05-02 05:00:00+00:00,The secretary of state announced today that a conference aimed at making progress toward peace in the Middle East is being planned for this summer.,"{'main': 'Powell Says Mideast Conference Is Planned for This Summer', 'kicker': None, 'content_kicker': None, 'print_headline': 'Powell Says Mideast Conference Is Planned for This Summer', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Senate', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 5, 'major': 'N'}]",Politics,U.S.,4,compound,0.743
5,5,Following is a transcribe of President Rush s address to the United Nations on Thursday a recorded by The New Work Times ,2002-09-12 05:00:00+00:00,"Following is a transcript of President Bush's address to the United Nations on Thursday, as recorded by The New York Times:","{'main': ""Text: Bush's Speech to U.N. on Iraq"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text: Bush's Speech to U.N. on Iraq"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,5,compound,0.4215
6,6,Following is the full text of President Rush s new national security strategy The document entitled The National Security Strategy of the United States will soon be transmitted to Congress a a declaration of the Administration s policy ,2002-09-20 05:00:00+00:00,"Following is the full text of President Bush's new national security strategy. The document, entitled ""The National Security Strategy of the United States,"" will soon be transmitted to Congress as a declaration of the Administration's policy.","{'main': ""Full Text: Bush's National Security Strategy"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Full Text: Bush's National Security Strategy"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,6,compound,0.8271
7,7,The first indication of trouble came at a m when the temperature sensory in the left wing failed NASA said ,2003-02-01 05:00:00+00:00,"The first indication of trouble came at 8:53 a.m., when the temperature sensors in the left wing failed, NASA said.","{'main': ""Cause of Fiery Fall Is Unknown; Ship Was Fleet's Oldest"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Cause of Fiery Fall Is Unknown; Ship Was Fleet's Oldest"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'National Aeronautics and Space Administration', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SPACE SHUTTLE', 'rank': 2, 'major': 'N'}]",National,U.S.,7,compound,-0.7184
8,8,His morning s tragedy fell a a harsh blow to a nation still struggling with the aftermath of the most devastating terrorist attack in it history ,2003-02-01 05:00:00+00:00,This morning's tragedy fell as a harsh blow to a nation still struggling with the aftermath of the most devastating terrorist attack in its history.,"{'main': 'Disaster Stirs Already Unsettled Feelings Across the Country', 'kicker': None, 'content_kicker': None, 'print_headline': 'Disaster Stirs Already Unsettled Feelings Across the Country', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'National Aeronautics and Space Administration', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'SPACE SHUTTLE', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Space', 'rank': 3, 'major': 'N'}]",National,U.S.,8,compound,-0.9751
9,9,The disaster occurred a the scuttle slowed to mile an hour toward it destination the Penned Space Enter ,2003-02-01 05:00:00+00:00,"The disaster occurred as the shuttle slowed to 12,500 miles an hour toward its destination, the Kennedy Space Center.","{'main': ""Cause of Fiery Disintegration Isn't Immediately Known"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Cause of Fiery Disintegration Isn't Immediately Known"", 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,9,compound,-0.6249
