index,Unnamed: 0,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,row_id,sentiment_type,sentiment_score
0,0,The Pentagon ordered nearly aircraft sent to the Persian Gulf area today and President Rush prepared to address Congress on Thursday ,2001-09-19 05:00:00+00:00,"The Pentagon ordered nearly 100 aircraft sent to the Persian Gulf area today, and President Bush prepared to address Congress on Thursday.","{'main': 'U.S. Orders Combat Planes Sent to Persian Gulf Region', 'kicker': 'The Overview', 'content_kicker': None, 'print_headline': 'U.S. Orders Combat Planes Sent to Persian Gulf Region', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Taliban', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Sukarnoputri, Megawati', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}]",National,U.S.,0,compound,0.2263
1,1,President Rush said that world government had frozen million in asset linked to terrorist suspect ,2001-10-12 05:00:00+00:00,President Bush said that world governments had frozen $24 million in assets linked to terrorism suspects.,"{'main': 'Assets Worth $24 Million Frozen as U.S. Goes for More', 'kicker': 'The Money Trail', 'content_kicker': None, 'print_headline': 'Assets Worth $24 Million Frozen as U.S. Goes for More', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'States (US)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 7, 'major': 'N'}]",National,U.S.,1,compound,-0.6597
2,2,of THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT of VIRGINIA,2002-02-06 05:00:00+00:00,IN THE UNITED STATES DISTRICT COURT FOR THE EASTERN DISTRICT OF VIRGINIA,"{'main': 'Full Text: Government Response to Lindh Petition', 'kicker': None, 'content_kicker': None, 'print_headline': 'Full Text: Government Response to Lindh Petition', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,2,compound,0.4215
3,3,In the Rush administration s most forceful presentation yet for attacking Ran the vice president warned that Madam Russen would fairly soon have nuclear weapon ,2002-08-26 05:00:00+00:00,"In the Bush administration's most forceful presentation yet for attacking Iraq, the vice president warned that Saddam Hussein would ""fairly soon"" have nuclear weapons.","{'main': 'Cheney Says Peril of a Nuclear Iraq Justifies Attack', 'kicker': None, 'content_kicker': None, 'print_headline': 'Cheney Says Peril of a Nuclear Iraq Justifies Attack', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Cheney, Dick', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Hussein, Saddam', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}]",Politics,U.S.,3,compound,-0.743
4,4,Congressional leader said that they would undertake week of hearing and debate on whether to support military action against Ran ,2002-09-05 05:00:00+00:00,Congressional leaders said that they would undertake weeks of hearings and debate on whether to support military action against Iraq.,"{'main': ""Senate Leaders Say Debate on Iraq Won't Be Rushed"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Senate Leaders Say Debate on Iraq Won't Be Rushed"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'SENATE (US)', 'rank': 4, 'major': 'N'}]",Politics,U.S.,4,compound,0.4019
5,5,Following is a transcribe of President Rush s address to the United Nations on Thursday a recorded by The New Work Times ,2002-09-12 05:00:00+00:00,"Following is a transcript of President Bush's address to the United Nations on Thursday, as recorded by The New York Times:","{'main': ""Text: Bush's Speech to U.N. on Iraq"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text: Bush's Speech to U.N. on Iraq"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,5,compound,0.4215
6,6,CARL LEVIN D MICHIGAN Or President I come to the floor today to speak in support of an alternative resolution which I will be introducing and to explain why I believe it is the right way to go and is a better alternative than the White House approach ,2002-10-04 05:00:00+00:00,"CARL LEVIN (D - MICHIGAN). Mr. President, I come to the floor today to speak in support of an alternative resolution, which I will be introducing, and to explain why I believe it is the right way to go and is a better alternative than the White House approach.","{'main': 'Text: Senator Carl Levin', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Carl Levin', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,6,compound,0.6808
7,7,Or President I rise in support of senate joint resolution to authorize the use of United States Armed Forces against Madam Russen s regime in Ran ,2002-10-04 05:00:00+00:00,"Mr. President, I rise in support of senate joint resolution 46 to authorize the use of United States Armed Forces against Saddam Hussein's regime in Iraq.","{'main': 'Text: Senator Jim Bunning', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Jim Bunning', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,7,compound,0.6705
8,8,Following are extended except from the Senate debate on Ran a recorded by The New Work Times ,2002-10-08 05:00:00+00:00,"Following are extended excerpts from the Senate debate on Iraq, as recorded by The New York Times.","{'main': 'Text: Congressional Debates on Use of Force in Iraq', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Congressional Debates on Use of Force in Iraq', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,8,compound,0.0
9,9,Following are except from the Senate debate yesterday on using military force against Ran a recorded by The New Work Times The speaker included Senators John Merry Democrat of Massachusetts Olympia J Now Republican of Maine Patrick J Ready Democrat of Vermont and Senator Chuck Age Republican of Nebraska ,2002-10-10 05:00:00+00:00,"Following are excerpts from the Senate debate yesterday on using military force against Iraq, as recorded by The New York Times. The speakers included Senators John Kerry, Democrat of Massachusetts; Olympia J. Snowe, Republican of Maine; Patrick J. Leahy, Democrat of Vermont; and Senator Chuck Hagel, Republican of Nebraska.","{'main': 'Excerpts From Senate Debate on Iraq Policy', 'kicker': None, 'content_kicker': None, 'print_headline': 'Excerpts From Senate Debate on Iraq Policy', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}]",Politics,U.S.,9,compound,0.7184
