index,row_id,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,sentiment_type,sentiment_score
0,0,The Pentagon ordered nearly aircraft sent to the Persian Gulf area today and President Rush prepared to address Congress on Thursday ,2001-09-19 05:00:00+00:00,"The Pentagon ordered nearly 100 aircraft sent to the Persian Gulf area today, and President Bush prepared to address Congress on Thursday.","{'main': 'U.S. Orders Combat Planes Sent to Persian Gulf Region', 'kicker': 'The Overview', 'content_kicker': None, 'print_headline': 'U.S. Orders Combat Planes Sent to Persian Gulf Region', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Taliban', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Sukarnoputri, Megawati', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,0.2263
1,1,The government announced a heightened alert against terror attack timed to coincide with the anniversary of Kept ,2002-09-10 05:00:00+00:00,The government announced a heightened alert against terror attacks timed to coincide with the anniversary of Sept. 11.,"{'main': 'U.S. Raises Terror Alert Level', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Raises Terror Alert Level', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'AL QAEDA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'ARMAMENT, DEFENSE AND MILITARY FORCES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Security and Warning Systems', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,-0.6486
2,2,President Rush ordered a high state of alert closing embassy abroad and putting missile battery on alert around Washington ,2002-09-11 05:00:00+00:00,"President Bush ordered a high state of alert, closing embassies abroad and putting missile batteries on alert around Washington.","{'main': 'U.S. Steps Up Alert as Solemn Day Arrives', 'kicker': None, 'content_kicker': None, 'print_headline': 'U.S. Steps Up Alert as Solemn Day Arrives', 'name': None, 'seo': None, 'sub': None}","[{'name': 'persons', 'value': 'Bush, George W', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'UNITED STATES ARMAMENT AND DEFENSE', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,0.5267
3,3,Following is a transcribe of President Rush s address to the United Nations on Thursday a recorded by The New Work Times ,2002-09-12 05:00:00+00:00,"Following is a transcript of President Bush's address to the United Nations on Thursday, as recorded by The New York Times:","{'main': ""Text: Bush's Speech to U.N. on Iraq"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text: Bush's Speech to U.N. on Iraq"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,compound,0.4215
4,4,CARL LEVIN D MICHIGAN Or President I come to the floor today to speak in support of an alternative resolution which I will be introducing and to explain why I believe it is the right way to go and is a better alternative than the White House approach ,2002-10-04 05:00:00+00:00,"CARL LEVIN (D - MICHIGAN). Mr. President, I come to the floor today to speak in support of an alternative resolution, which I will be introducing, and to explain why I believe it is the right way to go and is a better alternative than the White House approach.","{'main': 'Text: Senator Carl Levin', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Carl Levin', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,compound,0.6808
5,5,Or President I rise in support of senate joint resolution to authorize the use of United States Armed Forces against Madam Russen s regime in Ran ,2002-10-04 05:00:00+00:00,"Mr. President, I rise in support of senate joint resolution 46 to authorize the use of United States Armed Forces against Saddam Hussein's regime in Iraq.","{'main': 'Text: Senator Jim Bunning', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Jim Bunning', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,compound,0.6705
6,6,Following are except from the House debate yesterday on the use of force against Ran a recorded by The New Work Times Speakers included Representatives Fete Stark Democrat of California Michael N Castle Republican of Delaware Silvestre Eyes Democrat of Texas Karl Pomeroy Democrat of North Dakota Herald D Kleczka Democrat of Wisconsin John E Sununu Republican of New Hampshire and Robert W Goodlatte Republican of Virginia ,2002-10-10 05:00:00+00:00,"Following are excerpts from the House debate yesterday on the use of force against Iraq, as recorded by The New York Times. Speakers included Representatives Pete Stark, Democrat of California; Michael N. Castle, Republican of Delaware; Silvestre Reyes, Democrat of Texas; Earl Pomeroy, Democrat of North Dakota; Gerald D. Kleczka, Democrat of Wisconsin; John E. Sununu, Republican of New Hampshire; and Robert W. Goodlatte, Republican of Virginia.","{'main': 'Excerpts From House Debate on the Use of Military Force Against Iraq', 'kicker': None, 'content_kicker': None, 'print_headline': 'Excerpts From House Debate on the Use of Military Force Against Iraq', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}]",Politics,U.S.,compound,0.0
7,7,The plight of Muhammad And Equal a quanti¡name May detained shed some light on the experience of terrorist suspect even those who are not considered serious threat ,2005-12-18 05:00:00+00:00,"The plight of Muhammad Saad Iqbal, a GuantÃ¡namo Bay detainee, sheds some light on the experience of terrorism suspects, even those who are not considered serious threats.","{'main': ""Terror Suspect's Ordeal in U.S. Custody"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Terror Suspect's Ordeal in U.S. Custody"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Indonesia', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'Guantanamo Bay Naval Base (Cuba)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}]",Foreign,Archives,compound,-0.7651
8,8,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite of ,2006-01-15 05:00:00+00:00,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite TV.,"{'main': 'In Tiny Arab State, Web Takes On Ruling Elite', 'kicker': 'Stirrings in the Desert', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,,compound,0.0
9,9,A boat with about people on board baptized during a dinner cruise near Panama the island country s capital ,2006-03-31 05:00:00+00:00,"A boat with about 130 people on board capsized during a dinner cruise near Manama, the island country's capital.","{'main': 'Ferry Capsizes Off Bahrain; 48 Are Killed and 63 Rescued', 'kicker': None, 'content_kicker': None, 'print_headline': 'Ferry Capsizes Off Bahrain; 48 Are Killed And 63 Rescued', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Bahrain', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Accidents and Safety', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Ferries', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Rescues', 'rank': 4, 'major': 'N'}]",Foreign,World,compound,0.0
