index,row_id,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,sentiment_type,sentiment_score
0,0,The Justice Department released the name of men it belief were the hijacker who took over four milliner on Tuesday The department conceded that there is no way to be sure how many of the name might be arises ,2001-09-14 05:00:00+00:00,The Justice Department released the names of 19 men it believes were the hijackers who took over four airliners on Tuesday. The department conceded that there is no way to be sure how many of the names might be aliases.,"{'main': 'U.S. Identifies 19 Hijacking Suspects', 'kicker': 'The Suspects', 'content_kicker': None, 'print_headline': 'U.S. Identifies 19 Hijacking Suspects', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Pilots', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,0.5423
1,1,Following is the full text of comment by Vice President Sick Henry on today s broadcast of,2001-09-16 05:00:00+00:00,Following is the full text of comments by Vice President Dick Cheney on today's broadcast of,"{'main': ""Text of Vice President Cheney's Remarks on 'Meet the Press'"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text of Vice President Cheney's Remarks on 'Meet the Press'"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'CAMP DAVID (MD)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'WORLD TRADE CENTER', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Cheney, Dick', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Bombs and Bombing', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Taxation', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.5106
2,2,Following is a transcribe of President Rush s address to Congress last night a recorded by The New Work Times ,2001-09-21 05:00:00+00:00,"Following is a transcript of President Bush's address to Congress last night, as recorded by The New York Times:.","{'main': ""President Bush's Address on Terrorism Before a Joint Meeting of Congress"", 'kicker': None, 'content_kicker': None, 'print_headline': ""President Bush's Address on Terrorism Before a Joint Meeting of Congress"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 13, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 15, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 17, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 18, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 19, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 20, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 21, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 22, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 23, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 24, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 25, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 26, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 27, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 28, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 29, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 30, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 31, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 32, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 33, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 34, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 35, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 36, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 37, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 38, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 39, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 40, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 41, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 42, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 43, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 44, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 45, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 46, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 47, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 48, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 49, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 50, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 51, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 52, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 53, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 54, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 55, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 56, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 57, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 58, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 59, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 60, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 61, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 62, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 63, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 64, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 65, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 66, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 67, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 68, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 69, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 70, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 71, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 72, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 73, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 74, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 75, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 76, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 77, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 78, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 79, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 80, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 81, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 82, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 83, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 84, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 85, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 86, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 87, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 88, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 89, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 90, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 91, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 92, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 93, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 94, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 95, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 96, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 97, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 98, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 99, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 100, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 101, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 102, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 103, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 104, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 105, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 106, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 107, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 108, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 109, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 110, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 111, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 112, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 113, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 114, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 115, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 116, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 117, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 118, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 119, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 120, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 121, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 122, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 123, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 124, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 125, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 126, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 127, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 128, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 129, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 130, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 131, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 132, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 133, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 134, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 135, 'major': 'N'}]",National,U.S.,compound,0.0
3,3,Defense Secretary Donald H Rumsfeld will leave for the Middle Last this evening for discussion with political and military leader who support the United States campaign against terrorist ,2001-10-02 05:00:00+00:00,Defense Secretary Donald H. Rumsfeld will leave for the Middle East this evening for discussions with political and military leaders who support the United States' campaign against terrorism.,"{'main': 'Rumsfeld Will Visit Middle East at Bush Request', 'kicker': 'The Military', 'content_kicker': None, 'print_headline': 'Rumsfeld Will Visit Middle East at Bush Request', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Pilots', 'rank': 5, 'major': 'N'}]",National,U.S.,compound,0.0258
4,4,Ashamed Tea described a the ringleader of the Kept hijacker left behind a will indicating he had long planned to die for Slam ,2001-10-04 05:00:00+00:00,"Mohamed Atta, described as the ringleader of the Sept. 11 hijackers, left behind a 1996 will indicating he had long planned to die for Islam.","{'main': ""Suspect's Will Suggests a Longtime Plan to Die"", 'kicker': 'The Investigation', 'content_kicker': None, 'print_headline': ""Suspect's Will Suggests a Longtime Plan to Die"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AMERICAN AIRLINES', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Urban Areas', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'States (US)', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 6, 'major': 'N'}]",National,U.S.,compound,-0.8625
5,5,The Rush administration vowed to seize the asset of more individual it say support terrorist including a prominent businessman from Maude Arabia ,2001-10-12 05:00:00+00:00,"The Bush administration vowed to seize the assets of more individuals it says support terrorism, including a prominent businessman from Saudi Arabia.","{'main': 'Pressure Builds on Two Nations Over Groups Linked to Terror', 'kicker': 'The Money Trail', 'content_kicker': None, 'print_headline': 'Pressure Builds on Two Nations Over Groups Linked to Terror', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,0.2023
6,6,Were is a list of organization and individual with suspected terrorist tie that were designate by the Rush administration today to have their asset frozen Swellings of name may vary ,2001-11-07 05:00:00+00:00,Here is a list of organizations and individuals with suspected terrorist ties that were designated by the Bush administration today to have their assets frozen. Spellings of names may vary.,"{'main': 'List of Organizations', 'kicker': None, 'content_kicker': None, 'print_headline': 'List of Organizations', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Minneapolis (Minn)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Al Baraka', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'ABDI, ABBAS', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'News and News Media', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Citizenship', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.6249
7,7,More than foreigner have been detained a part of the government s investigation into the terror attack some spending day week and now month in prison ,2001-11-25 05:00:00+00:00,"More than 1,200 foreigners have been detained as part of the government's investigation into the terror attacks, some spending days, weeks and now months in prison.","{'main': ""Swept Up in a Dragnet, Hundreds Sit in Custody and Ask, 'Why?'"", 'kicker': 'The Detainees', 'content_kicker': None, 'print_headline': ""Swept Up in a Dragnet, Hundreds Sit in Custody and Ask, 'Why?'"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Justice Department', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,-0.91
8,8,The government s clampdown on the civil liberty of non citizens since the attack on New Work and Washington ha led to a surge in naturalization request filed by Arab and Slim immigrant immigration lawyer report ,2001-12-31 05:00:00+00:00,"The government's clampdown on the civil liberties of non-citizens since the attacks on New York and Washington has led to a surge in naturalization requests filed by Arab and Muslim immigrants, immigration lawyers report.","{'main': 'Naturalization Requests by Arab and Muslim Immigrants Reportedly Surge', 'kicker': 'National', 'content_kicker': None, 'print_headline': 'Naturalization Requests by Arab and Muslim Immigrants Reportedly Surge', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'IMMIGRATION AND NATURALIZATION SERVICE', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Mohammed, Sohail', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Legal Profession', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,0.4019
9,9,Lawmakers praised the White House today for it use of the new money wandering provision of last fall s anti terrorist law but pushed it to do more ,2002-01-29 05:00:00+00:00,"Lawmakers praised the White House today for its use of the new money-laundering provisions of last fall's anti-terrorism law, but pushed it to do more.","{'main': 'Lawmakers Praise Anti-laundering Steps but Urge That More Be Done', 'kicker': None, 'content_kicker': None, 'print_headline': 'Lawmakers Praise Anti-laundering Steps but Urge That More Be Done', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Sarbanes, Paul S', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 7, 'major': 'N'}]",Politics,U.S.,compound,-0.34
