index,row_id,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,sentiment_type,sentiment_score
0,0,Republican leader of the House today postponed until the fall the effort to grant the president broad authority to negotiate new trade agreement,2001-07-31 05:00:00+00:00,Republican leaders of the House today postponed until the fall the effort to grant the president broad authority to negotiate new trade agreements,"{'main': ""Bush Fails to Win Support On Hill for 'Fast Track' Trade"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Bush Fails to Win Support On Hill for 'Fast Track' Trade"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,compound,0.6369
1,1,NEW ENGLAND MASSACHUSETTS BILINGUAL EDUCATION CHALLENGE On And the software millionaire who led successful effort to end lingual education in Arizona and California announced that he planned financial support for a Massachusetts ballot initiative to replace lingual class The class now serve nearly student with English immersion program Or And and his ally must collect more than signature to get the initiative onto the November ballot Â Â Are Goldberg NYT,2001-08-01 05:00:00+00:00,"NEW ENGLAND MASSACHUSETTS: BILINGUAL EDUCATION CHALLENGE Ron Unz, the software millionaire who led successful efforts to end bilingual education in Arizona and California, announced that he planned financial support for a Massachusetts ballot initiative to replace bilingual classes. The classes now serve nearly 50,000 students with English immersion programs. Mr. Unz and his allies must collect more than 57,000 signatures to get the initiative onto the November 2002 ballot. Â Â  Carey Goldberg (NYT","{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'England', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'GREEN PARTY', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Goldberg, Carey', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,0.7783
2,2,Following is the full text of comment by Vice President Sick Henry on today s broadcast of,2001-09-16 05:00:00+00:00,Following is the full text of comments by Vice President Dick Cheney on today's broadcast of,"{'main': ""Text of Vice President Cheney's Remarks on 'Meet the Press'"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text of Vice President Cheney's Remarks on 'Meet the Press'"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'CAMP DAVID (MD)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'WORLD TRADE CENTER', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Cheney, Dick', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Bombs and Bombing', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Taxation', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.5106
3,3,Following is a transcribe of President Rush s address to Congress last night a recorded by The New Work Times ,2001-09-21 05:00:00+00:00,"Following is a transcript of President Bush's address to Congress last night, as recorded by The New York Times:.","{'main': ""President Bush's Address on Terrorism Before a Joint Meeting of Congress"", 'kicker': None, 'content_kicker': None, 'print_headline': ""President Bush's Address on Terrorism Before a Joint Meeting of Congress"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 1, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 7, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 8, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 9, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 11, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 12, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 13, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 14, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 15, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 16, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 17, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 18, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 19, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 20, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 21, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 22, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 23, 'major': 'N'}, {'name': 'glocations', 'value': 'WHITE HOUSE (WASHINGTON, DC)', 'rank': 24, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 25, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 26, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 27, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 28, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 29, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 30, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 31, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 32, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 33, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 34, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 35, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 36, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 37, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 38, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 39, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 40, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 41, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 42, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 43, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 44, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 45, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 46, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 47, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 48, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 49, 'major': 'N'}, {'name': 'organizations', 'value': 'CONGRESS', 'rank': 50, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 51, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 52, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 53, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 54, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 55, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 56, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 57, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 58, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 59, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 60, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 61, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 62, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 63, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 64, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 65, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 66, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 67, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 68, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 69, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 70, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 71, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 72, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 73, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 74, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 75, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 76, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 77, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 78, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 79, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 80, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 81, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 82, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 83, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 84, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 85, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 86, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 87, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 88, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 89, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 90, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 91, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 92, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 93, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 94, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 95, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 96, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 97, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 98, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 99, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 100, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 101, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 102, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 103, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 104, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 105, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 106, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 107, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 108, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 109, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 110, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 111, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 112, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 113, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 114, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 115, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 116, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 117, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 118, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 119, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 120, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 121, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 122, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 123, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 124, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 125, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 126, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 127, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 128, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 129, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 130, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 131, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 132, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 133, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 134, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 135, 'major': 'N'}]",National,U.S.,compound,0.0
4,4,Were are glimpse of some of the victim of the Kept attack on the Pentagon ,2001-10-12 05:00:00+00:00,Here are glimpses of some of the victims of the Sept. 11 attack on the Pentagon:.,"{'main': 'A Fighter Pilot, a Math Wiz, A Boy Who Loved School', 'kicker': 'The Pentagon Victims', 'content_kicker': None, 'print_headline': 'A Fighter Pilot, a Math Wiz, A Boy Who Loved School', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Burlingame', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AMERICAN AIRLINES', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Luce, Henry III', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Surgery and Surgeons', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Alcoholic Beverages', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Biology and Biochemistry', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.6369
5,5,Kentucky woman who return to abusive home after obtaining protection order have received fine in recent week ,2002-01-06 05:00:00+00:00,Kentucky women who return to abusive homes after obtaining protection orders have recieved fines in recent weeks.,"{'main': ""Judge's Ruling Roils Arena of Wife Abuse"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Judge's Ruling Roils Arena of Wife Abuse"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Lexington', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Children and Youth', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Domestic Violence', 'rank': 3, 'major': 'N'}]",National,U.S.,compound,-0.5267
6,6,Corner West a professor of Fro American study at Harvard is leaving for Princeton after spurring with Harvard s new president ,2002-04-12 05:00:00+00:00,"Cornel West, a professor of Afro-American studies at Harvard, is leaving for Princeton, after sparring with Harvard's new president.","{'main': 'Black-Studies Star Leaving Harvard for Princeton', 'kicker': None, 'content_kicker': None, 'print_headline': 'Black-Studies Star Leaving Harvard for Princeton', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Harvard University', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'West, Cornel', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Blacks', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Black People', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Hiring and Promotion', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Sociology', 'rank': 6, 'major': 'N'}]",National,U.S.,compound,0.0
7,7,The secretary of state announced today that a conference aimed at making progress toward peace in the Middle Last is being planned for this summer ,2002-05-02 05:00:00+00:00,The secretary of state announced today that a conference aimed at making progress toward peace in the Middle East is being planned for this summer.,"{'main': 'Powell Says Mideast Conference Is Planned for This Summer', 'kicker': None, 'content_kicker': None, 'print_headline': 'Powell Says Mideast Conference Is Planned for This Summer', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Senate', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'International Relations', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 5, 'major': 'N'}]",Politics,U.S.,compound,0.743
8,8,The House and Senate voted overwhelmingly today in rapid succession to express virtually unqualified support for Israel in it recent military operation ,2002-05-02 05:00:00+00:00,The House and Senate voted overwhelmingly today in rapid succession to express virtually unqualified support for Israel in its recent military operations.,"{'main': 'Congress Passes Measure of Support for Israel', 'kicker': None, 'content_kicker': None, 'print_headline': 'Congress Passes Measure of Support for Israel', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Washington (State)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Senate', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Mitchell, Alison', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 7, 'major': 'N'}]",Politics,U.S.,compound,0.4588
9,9,President Rush took his message of better school through accountability to an elementary school in the big Detroit suburb of Southfield ,2002-05-06 05:00:00+00:00,President Bush took his message of better schools through accountability to an elementary school in the big Detroit suburb of Southfield.,"{'main': 'Bush Emphasizes Responsibility in Talk With Michigan Students', 'kicker': None, 'content_kicker': None, 'print_headline': 'Bush Emphasizes Responsibility in Talk With Michigan Students', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Republican Party', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Education and Schools', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Federal Aid (US)', 'rank': 4, 'major': 'N'}]",Politics,U.S.,compound,0.4404
