index,row_id,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,sentiment_type,sentiment_score
0,0,Republican leader of the House today postponed until the fall the effort to grant the president broad authority to negotiate new trade agreement,2001-07-31 05:00:00+00:00,Republican leaders of the House today postponed until the fall the effort to grant the president broad authority to negotiate new trade agreements,"{'main': ""Bush Fails to Win Support On Hill for 'Fast Track' Trade"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Bush Fails to Win Support On Hill for 'Fast Track' Trade"", 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,compound,0.6369
1,1,Leading American scholar and practitioner of Slam said yesterday that Same bin Laden had twisted and debated Slim theology in a videotaped statement in which he called on,2001-10-08 05:00:00+00:00,Leading American scholars and practitioners of Islam said yesterday that Osama bin Laden had twisted and debased Muslim theology in a videotaped statement in which he called on,"{'main': 'Experts Say bin Laden Is Distorting Islamic Law', 'kicker': 'The Koran', 'content_kicker': None, 'print_headline': 'Experts Say bin Laden Is Distorting Islamic Law', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'AL JAZEERA', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'VIOLENCE', 'rank': 3, 'major': 'N'}]",National,U.S.,compound,-0.3818
2,2,WASHINGTON July â In investigation by the State Department ha found that people obtained fraudulent vista from the United States Embassy in Later in and in some case in exchange for bribe of more than Rush administration official said today ,2002-07-11 05:00:00+00:00,"WASHINGTON, July 10 â An investigation by the State Department has found that 71 people obtained fraudulent visas from the United States Embassy in Qatar in 2000 and 2001, in some cases in exchange for bribes of more than $10,000, Bush administration officials said today.","{'main': '71 Obtained Fraudulent Visas at American Embassy in Qatar', 'kicker': 'Immigration', 'content_kicker': None, 'print_headline': '71 Obtained Fraudulent Visas at American Embassy in Qatar', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'State Department', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Frauds and Swindling', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Bribery', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}]",Politics,U.S.,compound,0.0516
3,3,President Rush said that it wa highly doubtful that Madam Russen would meet U N demand to diary ,2002-09-13 05:00:00+00:00,"President Bush said that it was ""highly doubtful"" that Saddam Hussein would meet U.N. demands to disarm.","{'main': 'Bush Is Doubtful Iraq Will Comply With U.N. Demands', 'kicker': None, 'content_kicker': None, 'print_headline': 'Bush Is Doubtful Iraq Will Comply With U.N. Demands', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'United Nations', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}]",Politics,U.S.,compound,-0.4927
4,4,CARL LEVIN D MICHIGAN Or President I come to the floor today to speak in support of an alternative resolution which I will be introducing and to explain why I believe it is the right way to go and is a better alternative than the White House approach ,2002-10-04 05:00:00+00:00,"CARL LEVIN (D - MICHIGAN). Mr. President, I come to the floor today to speak in support of an alternative resolution, which I will be introducing, and to explain why I believe it is the right way to go and is a better alternative than the White House approach.","{'main': 'Text: Senator Carl Levin', 'kicker': None, 'content_kicker': None, 'print_headline': 'Text: Senator Carl Levin', 'name': None, 'seo': None, 'sub': None}",[],Politics,U.S.,compound,0.6808
5,5,President Rush is said to be far more gripped by daily battlefield development than his father wa in the first Persian Gulf war ,2003-03-30 05:00:00+00:00,President Bush is said to be far more gripped by daily battlefield developments than his father was in the first Persian Gulf war.,"{'main': 'President Keeps The Battlefield Close at Hand', 'kicker': None, 'content_kicker': None, 'print_headline': 'President Keeps The Battlefield Close at Hand', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Iraq', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Espionage', 'rank': 3, 'major': 'N'}]",National,U.S.,compound,-0.7579
6,6,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite of ,2006-01-15 05:00:00+00:00,Those pushing for democratic change in Bahrain have found that debate is possible through the Internet and satellite TV.,"{'main': 'In Tiny Arab State, Web Takes On Ruling Elite', 'kicker': 'Stirrings in the Desert', 'content_kicker': None, 'print_headline': None, 'name': None, 'seo': None, 'sub': None}",[],Foreign,,compound,0.0
7,7,Strong participation show how school choice program are winning over minority parent ,2006-04-06 04:00:00+00:00,Strong participation shows how school-choice programs are winning over minority parents.,"{'main': 'Program on Vouchers Draws Minority Support', 'kicker': None, 'content_kicker': None, 'print_headline': 'Federal Program on Vouchers Draws Strong Minority Support', 'name': None, 'seo': None, 'sub': None}","[{'name': 'subject', 'value': 'Vouchers', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Minorities (US)', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Education and Schools', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'Washington (DC)', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Private and Sectarian Schools', 'rank': 5, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 6, 'major': 'N'}]",National,Education,compound,0.7717
8,8,The president of the Palestinian Authority condemned the attack reflecting a split in the Palestinian leadership ,2006-04-18 04:00:00+00:00,"The president of the Palestinian Authority condemned the attack, reflecting a split in the Palestinian leadership.","{'main': 'Suicide Bombing in Israel Kills 9; Hamas Approves', 'kicker': None, 'content_kicker': None, 'print_headline': 'SUICIDE BOMBING IN ISRAEL KILLS 9; HAMAS APPROVES', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Tel Aviv (Israel)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'ISLAMIC JIHAD', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 4, 'major': 'N'}]",Foreign,World,compound,-0.6908
9,9,Israel said it will increase political pressure on the Palestinian government but gave no hint of planning a major military response ,2006-04-19 04:00:00+00:00,"Israel said it will increase political pressure on the Palestinian government, but gave no hint of planning a major military response.","{'main': 'Israel Plans Response to Tel Aviv Bombing', 'kicker': None, 'content_kicker': None, 'print_headline': 'Israel Plans Response to Tel Aviv Bombing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Israel', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Palestinians', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Tel Aviv (Israel)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Bombs and Explosives', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Suicides and Suicide Attempts', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Olmert, Ehud', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'ABBAS, MAHMOUD', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Hamas', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Palestinian Authority', 'rank': 11, 'major': 'N'}, {'name': 'organizations', 'value': 'ISLAMIC JIHAD', 'rank': 12, 'major': 'N'}]",Foreign,World,compound,-0.4118
