row_id,CleanedText,pub_date,abstract,headline,keywords,news_desk,section_name,sentiment_type,sentiment_score
0,NORMAL All Kept â By the hour they came Others popped from van an Army recruited emptied his wallet and went back to the bank for more two postal worker left collected from colleague a shift of firefighter gave ,2001-09-13 05:00:00+00:00,"NORMAL, Ill., Sept. 12 â By the hour, they came: Mothers popped from vans; an Army recruiter emptied his wallet and went back to the bank for more; two postal workers left $660 collected from colleagues; a shift of firefighters gave $125.","{'main': 'Fellow Americans Opening Hearts, Wallets and Veins', 'kicker': 'Voices', 'content_kicker': None, 'print_headline': 'Fellow Americans Opening Hearts, Wallets and Veins', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'Normal', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Toyota Motor Corporation', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Benson, Steve', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Vans', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.1779
1,Following is the full text of comment by Vice President Sick Henry on today s broadcast of,2001-09-16 05:00:00+00:00,Following is the full text of comments by Vice President Dick Cheney on today's broadcast of,"{'main': ""Text of Vice President Cheney's Remarks on 'Meet the Press'"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Text of Vice President Cheney's Remarks on 'Meet the Press'"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'CAMP DAVID (MD)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'WORLD TRADE CENTER', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Cheney, Dick', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Bombs and Bombing', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Taxation', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.5106
2,Nail al Arab believed to be a close associate of Same bin Laden wa arrested late Wednesday the F B I said today ,2001-09-20 05:00:00+00:00,"Nabil al Marabh, believed to be a close associate of Osama bin Laden, was arrested late Wednesday, the F.B.I. said today.","{'main': 'Fugitive on F.B.I. List Arrested Outside Chicago', 'kicker': 'The Investigation', 'content_kicker': None, 'print_headline': 'Fugitive on F.B.I. List Arrested Outside Chicago', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Federal Bureau of Investigation', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Bush, George W', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'AIRLINES AND AIRPLANES', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.4767
3,The investigation ha identified hijacker who crashed the four jet on Kept and uncovered much about their preparation and background ,2001-10-01 05:00:00+00:00,The investigation has identified 19 hijackers who crashed the four jets on Sept. 11 and uncovered much about their preparations and backgrounds.,"{'main': 'The Investigation So Far', 'kicker': None, 'content_kicker': None, 'print_headline': 'The Investigation So Far', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,0.34
4,WEST CALIFORNIA DEATH of CALLED HATE CRIME The killing of an Arab American shopkeeper in a tiny convenience store in Last Needle is being investigated a a hate crime related to the Kept attack The victim Do Li Shed an American citizen born in Semen had received a death threat before he wa killed on Saturday in his store by a gunshot blast to his abdomen Witnesses told investigator that a car full of teenager sped away at the time of the shooting which took place just yard from where the victim lived with his wife and six children Â Â Evelyn Gives NYT NORTHWEST ,2001-10-03 05:00:00+00:00,"WEST CALIFORNIA: DEATH IS CALLED HATE CRIME The killing of an Arab-American shopkeeper in a tiny convenience store in East Reedley is being investigated as a hate crime related to the Sept. 11 attacks. The victim, Abdo Ali Ahmed, an American citizen born in Yemen, had received a death threat before he was killed on Saturday in his store by a gunshot blast to his abdomen. Witnesses told investigators that a car full of teenagers sped away at the time of the shooting, which took place just yards from where the victim lived with his wife and six children.Â Â  Evelyn Nieves (NYT) NORTHWEST.","{'main': 'National Briefing', 'kicker': None, 'content_kicker': None, 'print_headline': 'National Briefing', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'California (USA)', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Fish and Wildlife Service', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Nieves, Evelyn', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Medicine and Health', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Taxation', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'States (US)', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.9917
5,A company that wa fined for hiring felony ha continued to hire screened without checking criminal record a United States attorney say ,2001-10-12 05:00:00+00:00,"A company that was fined for hiring felons has continued to hire screeners without checking criminal records, a United States attorney says.","{'main': 'Screening Company Is Faulted Again', 'kicker': 'The Security Business', 'content_kicker': None, 'print_headline': 'Screening Company Is Faulted Again', 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'AMERICAN AIRLINES', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Hiring and Promotion', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,0.5386
6,The Rush administration vowed to seize the asset of more individual it say support terrorist including a prominent businessman from Maude Arabia ,2001-10-12 05:00:00+00:00,"The Bush administration vowed to seize the assets of more individuals it says support terrorism, including a prominent businessman from Saudi Arabia.","{'main': 'Pressure Builds on Two Nations Over Groups Linked to Terror', 'kicker': 'The Money Trail', 'content_kicker': None, 'print_headline': 'Pressure Builds on Two Nations Over Groups Linked to Terror', 'name': None, 'seo': None, 'sub': None}",[],National,U.S.,compound,0.2023
7,More than foreigner have been detained a part of the government s investigation into the terror attack some spending day week and now month in prison ,2001-11-25 05:00:00+00:00,"More than 1,200 foreigners have been detained as part of the government's investigation into the terror attacks, some spending days, weeks and now months in prison.","{'main': ""Swept Up in a Dragnet, Hundreds Sit in Custody and Ask, 'Why?'"", 'kicker': 'The Detainees', 'content_kicker': None, 'print_headline': ""Swept Up in a Dragnet, Hundreds Sit in Custody and Ask, 'Why?'"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'organizations', 'value': 'Justice Department', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'IMMIGRATION AND REFUGEES', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 4, 'major': 'N'}]",National,U.S.,compound,-0.91
8,A man whom authority suspect to be the th hijacker in the Kept attack wa indicted today on six terrorist charge by a federal grand jury in Virginia ,2001-12-11 05:00:00+00:00,A man whom authorities suspect to be the 20th hijacker in the Sept. 11 attacks was indicted today on six terrorism charges by a federal grand jury in Virginia.,"{'main': ""Accused of 'Conspiring' With Al Qaeda, Suspect Is Indicted as 20th Hijacker"", 'kicker': None, 'content_kicker': None, 'print_headline': ""Accused of 'Conspiring' With Al Qaeda, Suspect Is Indicted as 20th Hijacker"", 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'Justice Department', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'bin Laden, Osama', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Suits and Litigation', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'World Trade Center', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Attorneys General', 'rank': 7, 'major': 'N'}]",National,U.S.,compound,-0.7717
9,The government filed it first criminal charge in the attack indicting a man who official believe wa meant to be the th hijacker ,2001-12-12 05:00:00+00:00,"The government filed its first criminal charge in the attacks, indicting a man who officials believe was meant to be the 20th hijacker.","{'main': 'Man Held Since August Is Charged With a Role in Sept. 11 Terror Plot', 'kicker': ""The Government's Case"", 'content_kicker': None, 'print_headline': 'Man Held Since August Is Charged With a Role in Sept. 11 Terror Plot', 'name': None, 'seo': None, 'sub': None}","[{'name': 'glocations', 'value': 'WASHINGTON', 'rank': 1, 'major': 'N'}, {'name': 'organizations', 'value': 'AL QAEDA', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'bin Laden, Osama', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Crime and Criminals', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Terrorism', 'rank': 5, 'major': 'N'}]",National,U.S.,compound,-0.7579
